appid,current_players
2996570,57
528060,1
2503740,12
1229460,5
836480,1
429940,1
1361700,1
603260,1
1105130,1
2691350,6
418950,1
571530,3
1755920,171
605610,1
1910780,6
3107350,5
2229880,90
3174480,129
1691280,22
2246300,17
1140890,4
2907010,6
2332210,38
532190,1
2022330,5
346730,3
1549750,1
2735620,3
2253720,188
2398450,7
440420,21
1417010,1
1740000,1
2299740,32
2274120,74
2735870,1
418190,1
1572080,1
2211280,19
257690,1
2383020,21
639650,1
1223870,1
1758950,9
2433470,176
303590,1
2337640,5
1962920,2
1964220,94
682530,4
892630,1
2308870,91
2713460,1
2492430,345
1821570,2
396160,4
1745200,126
2788870,6
2214500,2
3022110,2
1012240,1
1180030,1
1396150,1
2403320,7
3115010,55
2687160,6
764920,1
567290,1
2295920,7
1369520,1
2449820,1
301840,2
1539580,1
2204230,3
3051280,82
409690,2
2570390,5
943260,1
1630290,1
2814910,23
476240,1
2302990,82
485040,7
1272550,1
2701510,320
1035760,2
2419710,10
1744570,2
2964410,2
2009010,4
1530300,348
918820,1
1599080,2
1380410,73
643880,2
810660,1
2027360,4
3192360,3
2386580,3
2933990,3
286810,1
275180,2
1113940,1
219700,1
2708280,6
1934080,1
220090,1
2152460,2
308060,1
303790,2
339120,1
451840,1
1379830,1
509250,2
2789420,1
1888010,1
1773180,1
2668050,3
1581950,16
1557040,3
1774100,3
2711350,1
263740,1
1170640,1
2639810,3
3214880,17
2438160,47
1871310,1
450220,3
506730,1
2316330,1
521570,1
466660,1
356130,1
1967320,1
3132860,144
1996930,5
2346660,140
2231300,17
1574250,1
1585440,2
1505620,1
604780,1
2595860,2
2196640,13
2718730,1
1879340,7
3047030,9
787070,1
1504150,1
2825180,2
2925510,2
547360,3
289600,3
2847110,8
505640,1
530390,11
2293410,4
1597460,32
1573360,229
1162960,2
1044490,1
3080240,12
1858650,36
1956740,112
311140,1
1904980,2
2756820,17
2335130,4
2739630,8
3471350,2003
1472250,1
2317560,63
1026110,2
900010,1
58570,1
1635550,2
780670,1
434250,1
2905970,47
1678150,9
2206560,3
2379740,2520
365020,1
2479720,18
2635360,1
2657120,8
1592680,3
1990260,1
340000,1
2229890,26
2907190,1
510490,2
229870,2
2960430,2
1120480,1
1508270,1
598450,1
658470,1
427760,1
2700780,2
2147110,3
2181940,239
2439510,692
2456070,25
474020,1
2774240,1
412770,1
2467790,6
926580,4
2962810,1233
585830,1
1503790,13
1363900,1
3089150,13
346180,4
2430830,64
1884540,1
2897580,1005
1032520,1
1450180,2
1056610,1
2175210,2
1047010,3
531930,3
2168610,2
1020340,1
257050,1
2591210,78
2399910,9
1582570,1
2358050,108
2819750,8
485030,1
2286390,3
307940,1
599610,3
2878140,5
1462650,1
1333360,25
1984350,1
2717260,2
517130,2
65560,1
2281650,36
2859800,1
2472840,2
2026990,3
907760,1
629000,1
252370,1
207420,1
253940,4
205730,1
2994910,4
3074440,9
867490,2
569800,2
552970,2
428750,3
2901550,21
2229260,59
2232880,99
298930,2
41800,1
1991860,40
390290,2
2530670,4
779650,1
552110,1
2932930,3
337360,1
896440,2
633110,2
1925560,34
1055210,1
57680,1
594040,1
948900,1
899310,2
3135530,258
266110,3
251890,1
1403020,1
2221500,3
3121490,30
268220,1
311800,2
1565220,1
